StudentID,Name,Gender,DOB,Email,Phone,Branch,Year,CGPA,Skills,Hackathons,Papers,Conferences,Sports,Clubs,Internships,Resume_Score,GitHub_Score,LeetCode_Rating,Placement_Probability,Father,Mother,Address
11,Qasim Mall,Male,2006-12-23,dganesan@example.org,+912329860712,Computer Science & Engineering (CSE),2016,9.4,"SQL,Java,TensorFlow,Linux,NodeJS",4,1,1,0,3,0,89,91,1676,0.91,Fiyaz Dugar,Nisha Natarajan,"H.No. 180, Oak Circle
Dindigul 985208"
12,Kiaan Pillai,Male,2006-06-03,sunderrachana@example.net,+912589286023,Computer Science & Engineering (CSE),2016,9.59,"Python,Deep Learning,PyTorch,TensorFlow,AWS",2,1,2,1,4,0,89,63,1846,0.74,Faraj Kala,Nidra Sani,"568
Sama Nagar, Lucknow 239162"
13,Oviya Amble,Male,2002-09-29,meeradora@example.net,07558115383,Computer Science & Engineering (CSE),2016,6.69,"Python,AWS,Data Science,Cloud Computing,Blockchain",4,0,1,0,2,2,100,27,1913,0.8,Hemal Ghosh,Leena Sangha,"H.No. 648
De Zila
Gwalior 062359"
14,Chaitanya Menon,Male,2005-11-20,sainibhanumati@example.com,3606990397,Computer Science & Engineering (CSE),2016,7.78,"SQL,DevOps,Deep Learning,Cloud Computing,PyTorch",0,0,2,0,2,0,88,64,1194,0.7,Gagan Kade,Damini Sathe,"H.No. 80, Sandhu Ganj
Meerut 722273"
15,Warinder Kala,Female,2005-07-17,fiyazahuja@example.com,7305833550,Computer Science & Engineering (CSE),2016,8.46,"Deep Learning,Linux,PyTorch,React,Machine Learning",0,3,1,0,0,2,72,2,1948,0.72,Yoshita Bassi,Amara Sandhu,"40/445
Chaudhari Nagar
Udupi-145811"
16,Bachittar Devan,Female,2004-11-23,niharika04@example.org,8913781379,Computer Science & Engineering (CSE),2016,7.8,"Java,TensorFlow,Cybersecurity,React,AWS",3,3,1,3,4,2,90,66,1223,0.9,Aashi Karpe,Megha Vora,"735
Sagar Street, Kharagpur-756136"
17,Gauri Jaggi,Female,2003-07-08,ikakar@example.com,0047477346,Computer Science & Engineering (CSE),2016,6.92,"Python,React,Java,TensorFlow,Linux",4,2,1,3,4,1,85,97,1669,0.54,Udarsh Agrawal,Samuel Mall,"84/74
Dara Street
Mysore 993131"
18,Yatin Misra,Male,2004-08-09,jjani@example.net,+914148029415,Computer Science & Engineering (CSE),2016,6.5,"Cybersecurity,AWS,React,Data Science,TensorFlow",5,3,1,2,2,0,92,15,1107,0.39,Naveen Chander,Teerth Bora,"44/50, Nori Circle, Bhalswa Jahangir Pur-551602"
19,Yashvi Gola,Male,2007-09-16,sudiksha47@example.com,04828753869,Computer Science & Engineering (CSE),2016,9.0,"Blockchain,Data Science,C++,React,TensorFlow",4,2,0,0,3,0,68,37,2103,0.82,Hiral Vala,Daksh Minhas,"18/555, Yadav Road, Pudukkottai 509531"
20,Advaith Brar,Male,2006-11-22,nihallanka@example.org,3182847948,Computer Science & Engineering (CSE),2016,7.45,"Linux,NodeJS,AWS,Deep Learning,IoT",2,2,1,3,0,0,89,47,1657,0.58,Yamini Apte,Siya Bhagat,"90/94
Dave Chowk, Sasaram-443135"
21,Bhavani Tata,Male,2003-05-01,prajan@example.org,5677411622,Computer Science & Engineering (CSE),2016,9.39,"PyTorch,Data Science,Docker,Java,Linux",5,3,2,2,2,0,72,14,1555,0.88,Yatin Sekhon,Ekaja Bahl,"72, Shroff Street, Bathinda-416894"
22,Oeshi Gola,Male,2006-04-27,ramachandranjalsa@example.net,03891775467,Computer Science & Engineering (CSE),2016,6.89,"Cloud Computing,React,AWS,Java,Machine Learning",2,0,1,3,3,0,85,83,1697,0.55,Pranav Kalita,Vidhi Rama,"H.No. 74, Naik
Dharmavaram-835207"
23,Ekavir Bhakta,Male,2006-05-03,diyasen@example.com,00225788131,Computer Science & Engineering (CSE),2016,6.79,"PyTorch,NodeJS,AWS,Cloud Computing,Docker",3,0,0,2,2,1,86,76,1419,0.41,Sathvik Bora,Ayaan Randhawa,"11, Bala Nagar, New Delhi-918941"
24,Sanya More,Female,2003-01-11,yugsuresh@example.com,6664684477,Computer Science & Engineering (CSE),2016,8.63,"Kubernetes,React,Deep Learning,TensorFlow,Linux",5,2,1,3,0,1,50,40,1576,0.45,Chandran Chauhan,Eiravati Sidhu,"23/17, Bala Road
Vijayawada 466325"
25,Ekanta Aggarwal,Male,2003-03-22,darika28@example.org,06108479191,Computer Science & Engineering (CSE),2016,6.5,"Linux,Cybersecurity,Cloud Computing,TensorFlow,Data Science",3,1,0,1,3,1,81,12,1165,0.42,Zansi Bhandari,Riya Ganesan,"34/936
Mital Chowk
Amritsar 575139"
26,Zaid Butala,Female,2003-06-29,sheredev@example.com,+913989708695,Computer Science & Engineering (CSE),2016,9.18,"Linux,DevOps,Data Science,C++,Blockchain",2,0,1,3,4,0,52,86,1097,0.35,Ganga Pau,Fariq Madan,"18/11, Shetty Chowk, Ambattur-393731"
27,Mohini Char,Female,2004-07-01,ekiyakulkarni@example.net,07873749134,Computer Science & Engineering (CSE),2016,6.5,"IoT,NodeJS,PyTorch,Kubernetes,TensorFlow",3,2,2,1,3,0,90,54,1358,0.61,Qadim Chaudhuri,Niharika Srinivasan,"483
Dua Road, Tiruchirappalli-431086"
28,Abha Keer,Female,2005-09-26,mittaljason@example.net,01868312788,Computer Science & Engineering (CSE),2016,9.68,"Cybersecurity,AWS,Java,Linux,Machine Learning",4,1,0,2,3,0,79,83,1447,0.59,Isaac Majumdar,Zayan Thakur,"H.No. 972, Bassi Marg, Kamarhati 369538"
29,Vasatika Yadav,Female,2002-06-29,theodore00@example.net,+914767005044,Computer Science & Engineering (CSE),2016,7.16,"Linux,IoT,TensorFlow,SQL,C++",2,1,2,2,2,0,86,78,1570,0.75,Ubika Buch,Falguni Kuruvilla,"16/84, Madan Path
Uluberia-736513"
30,Harita Dhillon,Female,2003-04-20,divya78@example.net,+919917891808,Computer Science & Engineering (CSE),2016,7.2,"Kubernetes,AWS,Cybersecurity,DevOps,Machine Learning",0,1,2,0,2,0,50,50,938,0.69,Timothy Agrawal,Dakshesh Lall,"87/67
Mody Road, Ambala 639869"
31,Alexander Sood,Male,2007-10-01,waida75@example.com,5714206048,Computer Science & Engineering (CSE),2016,6.07,"TensorFlow,C++,Java,Data Science,Cybersecurity",5,0,1,2,3,1,66,90,911,0.3,Chaitaly Walia,Michael Sinha,"03, Suri Chowk
Jaipur 299241"
32,Damini Pant,Male,2006-08-31,mvarma@example.net,07041110357,Computer Science & Engineering (CSE),2016,8.97,"Blockchain,Cloud Computing,Python,Kubernetes,C++",1,3,1,1,1,2,55,4,2081,0.64,Baghyawati Natarajan,Bina Khalsa,"161
Dora Street, Etawah-305385"
33,Imaran Palan,Female,2008-01-20,andrewdewan@example.net,03983166819,Computer Science & Engineering (CSE),2016,7.72,"Linux,Machine Learning,TensorFlow,SQL,AWS",3,0,1,1,1,1,75,38,987,0.33,Imaran Bumb,Jairaj Dada,"H.No. 45, Hayre Marg, Thanjavur-844636"
34,Champak Nayar,Male,2005-09-20,saigoda@example.org,5937532545,Computer Science & Engineering (CSE),2016,6.92,"Kubernetes,Cybersecurity,Python,SQL,Cloud Computing",3,1,0,3,1,0,98,75,834,0.39,Meera Nazareth,Reva Chadha,"20/42, Pandit Nagar
Nagaon-554530"
35,Lila Chandra,Male,2003-01-23,onveer56@example.org,+911644861096,Computer Science & Engineering (CSE),2016,6.75,"AWS,Kubernetes,Cybersecurity,React,Blockchain",4,0,2,3,1,2,96,79,1636,0.85,Bishakha Nagarajan,Madhav Konda,"800
Sunder Marg, Satna 189674"
36,Niharika Srinivas,Male,2007-03-09,deepa45@example.com,+915641009796,Computer Science & Engineering (CSE),2016,9.21,"DevOps,Kubernetes,C++,Blockchain,Deep Learning",0,2,1,0,3,1,89,39,1855,0.86,Mugdha Lad,Siddharth Sridhar,"92/04
Basak Path
Delhi-968771"
37,Caleb Kadakia,Female,2006-03-23,khareyatin@example.org,05069261626,Computer Science & Engineering (CSE),2016,9.64,"NodeJS,C++,Data Science,AWS,Docker",5,3,1,0,2,0,63,60,2085,0.7,Upkaar Pingle,Darsh Nayak,"18/573
Nagi Ganj
Dewas-672289"
38,Pooja Sengupta,Female,2003-09-26,chamelilad@example.net,5961838925,Computer Science & Engineering (CSE),2016,7.5,"Kubernetes,Docker,DevOps,Data Science,AWS",3,3,2,0,0,1,70,47,1532,0.88,Ekanta Sidhu,Shivansh Tak,"09, Sarraf Nagar, Karnal-222412"
39,Shaurya Banerjee,Female,2004-05-20,vrinda12@example.org,03614473492,Computer Science & Engineering (CSE),2016,7.66,"Python,PyTorch,NodeJS,Docker,Cybersecurity",0,2,2,3,0,1,76,20,1439,0.63,Bachittar Guha,Advaith Rao,"29/293
Chanda Circle
Chandigarh 998885"
40,Krishna Wable,Male,2006-12-19,zsarin@example.org,+918849065319,Computer Science & Engineering (CSE),2016,8.97,"Data Science,Cloud Computing,SQL,Linux,Machine Learning",0,1,0,3,1,0,94,20,1874,0.66,Harsh Golla,Jalsa Bhat,"H.No. 355
Mukhopadhyay Circle, Morena-850743"
41,Baljiwan Shankar,Female,2004-04-12,bimalagandhi@example.org,+913186119324,Computer Science & Engineering (CSE),2016,6.15,"Java,Docker,TensorFlow,React,Kubernetes",3,0,0,2,2,0,79,0,1614,0.86,Harshil Bera,Mason Mishra,"60/43
Tara, Tiruppur 815647"
42,Siya Bal,Male,2004-07-15,charita69@example.org,4366013024,Computer Science & Engineering (CSE),2016,9.19,"Kubernetes,PyTorch,TensorFlow,Python,IoT",0,3,1,3,3,0,53,46,1441,0.77,Januja Ratti,Dalaja Kar,"47
Chacko Road
Gopalpur 102711"
43,Urvi Bawa,Male,2003-07-10,nairbalhaar@example.net,+916849916038,Computer Science & Engineering (CSE),2016,6.86,"Cybersecurity,Java,Kubernetes,DevOps,SQL",2,2,2,0,1,0,93,34,852,0.38,Frado Sridhar,Falan Mandal,"52/72, Agarwal
Bhalswa Jahangir Pur 519598"
44,Nathaniel Badal,Male,2007-10-26,dasdamini@example.com,02352888954,Computer Science & Engineering (CSE),2016,6.28,"React,Cloud Computing,C++,TensorFlow,Docker",4,1,0,1,3,2,93,50,1444,0.41,Veer Swamy,Prisha Modi,"H.No. 70
Raval Street, North Dumdum-482866"
45,Udyati Mitter,Female,2007-11-25,warriormeghana@example.com,04068438154,Computer Science & Engineering (CSE),2016,7.04,"Machine Learning,C++,React,Blockchain,Python",5,1,0,0,4,2,65,76,1885,0.36,Yahvi Desai,Kavya Shenoy,"H.No. 95
Narula Circle, Giridih-075692"
46,Ira Kala,Female,2003-11-14,rehaan60@example.com,+913090622435,Computer Science & Engineering (CSE),2016,8.64,"Data Science,C++,PyTorch,Kubernetes,IoT",4,2,1,1,4,0,61,86,825,0.6,Reyansh De,Urmi Comar,"070, Raman Chowk
Nanded-918153"
47,Jasmit Dada,Female,2005-07-02,lbuch@example.org,9030630831,Computer Science & Engineering (CSE),2016,9.6,"React,Blockchain,Linux,Cybersecurity,PyTorch",4,2,0,0,1,1,68,84,1759,0.62,Jagvi Pandey,Pooja Chokshi,"H.No. 127
Johal Street
Uluberia 959888"
48,Chaman Dhar,Male,2004-03-25,udasgupta@example.org,01105400901,Computer Science & Engineering (CSE),2016,8.83,"Python,NodeJS,Kubernetes,PyTorch,Deep Learning",3,2,0,3,3,2,79,92,1868,0.92,Abhimanyu Chowdhury,Veda Lad,"03
Subramanian Nagar
Anantapur-843736"
49,Manbir Nigam,Male,2006-06-10,kaibhalla@example.org,04129438554,Computer Science & Engineering (CSE),2016,7.06,"NodeJS,DevOps,IoT,PyTorch,C++",3,0,2,0,4,0,61,3,998,0.83,Nakul Ramesh,Omaja Nadkarni,"H.No. 320
Banik Ganj, Phusro-502698"
50,Jacob Ramaswamy,Male,2007-08-22,ikbaltrivedi@example.net,08096484042,Computer Science & Engineering (CSE),2016,8.84,"C++,Python,DevOps,Kubernetes,PyTorch",0,2,2,2,1,2,64,54,992,0.91,Upadhriti Jain,Forum Arora,"560
Dass, Bidar-001055"
51,Xalak Tripathi,Male,2007-10-26,nakulpal@example.org,+918046725995,Computer Science & Engineering (CSE),2016,9.57,"Python,Linux,Java,Deep Learning,React",1,0,1,0,0,1,80,37,1927,0.7,Ekaraj Badal,Anay Handa,"611
De Street, Dindigul-575533"
52,Qarin Sagar,Male,2005-10-05,fbabu@example.org,7853818273,Computer Science & Engineering (CSE),2016,6.63,"Linux,Cybersecurity,Machine Learning,Data Science,React",4,0,1,3,4,1,74,15,1628,0.64,Samesh Tiwari,Anika Buch,"82/894, Sankaran Road, Mira-Bhayandar 975195"
53,Joshua Mani,Female,2006-05-16,triptinagar@example.net,+914610047357,Computer Science & Engineering (CSE),2016,7.77,"C++,Java,Cloud Computing,Blockchain,AWS",4,2,0,0,2,0,71,6,1743,0.58,Mahika Mallick,Nathaniel Brahmbhatt,"44/231, Shanker, Gudivada-431269"
54,Bimala Muni,Female,2006-09-23,tristan75@example.org,+912598854117,Computer Science & Engineering (CSE),2016,9.78,"Blockchain,Linux,AWS,C++,SQL",5,0,1,1,3,1,66,20,1872,0.51,Yagnesh Sandhu,Chaitanya Parikh,"51/36, Nagy, Sikar-425801"
55,Ekaraj Sunder,Female,2007-04-10,waglenitesh@example.org,+915087949369,Computer Science & Engineering (CSE),2016,9.47,"IoT,PyTorch,Cybersecurity,Docker,Machine Learning",5,3,2,0,3,2,58,64,1985,0.79,Charvi Tak,Pooja Ganesan,"47/95
Sarna Path
Katihar 846590"
56,Indali Ray,Female,2005-07-31,thomaschaudry@example.org,09383692123,Computer Science & Engineering (CSE),2016,6.33,"Cloud Computing,AWS,TensorFlow,Data Science,SQL",2,3,2,0,4,0,53,81,2153,0.66,Vivaan Bora,Triveni Lanka,"52/79, Koshy Street
Faridabad-360679"
57,Dalbir Morar,Female,2002-10-23,aarna26@example.org,7907130084,Computer Science & Engineering (CSE),2016,6.28,"Cybersecurity,Linux,Blockchain,Python,C++",2,0,0,3,1,0,78,30,1747,0.9,Theodore Prakash,Ojas Chopra,"H.No. 434
Agarwal
Mira-Bhayandar-020426"
58,Keya Bala,Male,2007-09-19,znagi@example.net,+910737193497,Computer Science & Engineering (CSE),2016,7.15,"Deep Learning,AWS,IoT,Cybersecurity,C++",0,2,1,2,3,2,98,71,1517,0.34,Guneet Lal,Daksha Balakrishnan,"H.No. 253, Soni Zila
Ballia 027125"
59,Vedika Dhaliwal,Male,2006-06-09,noahnaik@example.org,04428088752,Computer Science & Engineering (CSE),2016,7.78,"Kubernetes,Blockchain,Docker,C++,Machine Learning",3,1,2,3,2,2,75,26,1011,0.45,Orinder Kale,Yashoda Vora,"H.No. 67
Ghosh Street
Ballia-423723"
60,Harish Seshadri,Female,2005-01-19,sethijanuja@example.org,+918151121754,Computer Science & Engineering (CSE),2016,7.05,"Python,AWS,Machine Learning,Linux,React",4,0,2,3,1,1,87,36,1771,0.47,Imaran Cheema,Yatin Srinivas,"86
Koshy Zila, Ahmednagar 977593"
61,Ayaan Joshi,Male,2002-04-25,onkarvenkataraman@example.org,09566266169,Computer Science & Engineering (CSE),2016,6.4,"DevOps,SQL,Python,Linux,TensorFlow",2,1,0,1,2,1,75,27,1959,0.56,Omaja Bava,Manbir Master,"68/318, Thaker Chowk
Malda 105670"
62,Jason Panchal,Female,2003-02-18,girish47@example.net,03628137695,Computer Science & Engineering (CSE),2016,9.32,"PyTorch,Cybersecurity,Python,TensorFlow,DevOps",0,1,0,0,2,0,75,63,1658,0.64,Aditya Keer,Zilmil Goyal,"H.No. 98, Dutta Marg
Meerut-732227"
63,Oni Bal,Female,2005-07-24,widishadhar@example.org,4740455352,Computer Science & Engineering (CSE),2016,7.75,"AWS,Kubernetes,TensorFlow,PyTorch,Data Science",0,0,2,1,3,0,88,11,1094,0.91,Yamini Borra,Janaki Sengupta,"H.No. 280
Naik Nagar
Bangalore-153588"
64,Hitesh Dugar,Male,2005-06-08,chakradhardeo@example.com,2909248304,Computer Science & Engineering (CSE),2016,6.01,"Blockchain,C++,Deep Learning,Data Science,TensorFlow",2,2,0,2,1,0,56,14,1555,0.3,Ojas Chander,Manya D’Alia,"158, Sastry Nagar, Danapur-272955"
65,Frado Kohli,Male,2006-10-21,januja20@example.org,03935515084,Computer Science & Engineering (CSE),2016,8.82,"C++,Cybersecurity,Python,Blockchain,Linux",4,1,0,2,0,2,78,14,870,0.86,Wakeeta Dhaliwal,Anay Dasgupta,"82/93, Munshi Chowk, Saharsa-782419"
66,Nathaniel Parekh,Female,2002-09-09,kondaucchal@example.org,02017873109,Computer Science & Engineering (CSE),2016,6.04,"AWS,Cybersecurity,C++,PyTorch,Deep Learning",2,0,0,2,1,1,68,72,1731,0.64,Ayushman Borde,Aarav Tara,"H.No. 63
Palla Chowk, Srikakulam 284530"
67,Damyanti Palla,Male,2004-02-01,bhavna65@example.net,4352150420,Computer Science & Engineering (CSE),2016,6.51,"DevOps,IoT,Deep Learning,Cybersecurity,SQL",4,3,0,1,0,0,67,88,1956,0.37,Ria Chandran,Nathaniel Sehgal,"89/41
Radhakrishnan Path
Kakinada 226510"
68,Saksham Naidu,Male,2005-03-02,lipikasoman@example.com,03491585068,Computer Science & Engineering (CSE),2016,7.69,"Blockchain,IoT,Docker,SQL,Python",4,3,1,3,2,0,74,34,1510,0.59,Saanvi Wali,Samuel Narasimhan,"97/394
Kanda Ganj
Asansol-683788"
69,Vivaan Sunder,Male,2002-11-20,anmol37@example.com,+913650773855,Computer Science & Engineering (CSE),2016,6.27,"IoT,C++,Docker,AWS,Cloud Computing",1,1,0,3,0,2,97,76,1552,0.8,Ethan Amble,Unnati Dyal,"422
Pillay Chowk, Bally-048964"
70,Naveen Venkataraman,Male,2004-04-13,ekanshraman@example.org,07691037076,Computer Science & Engineering (CSE),2016,7.85,"DevOps,AWS,C++,Blockchain,Cybersecurity",5,2,2,1,1,0,75,13,2184,0.54,Omaja Vala,Chasmum Singhal,"20/863
Bajwa Road, Imphal-611783"
71,Pratyush Majumdar,Male,2002-04-02,sarthak80@example.net,+919081009890,Computer Science & Engineering (CSE),2016,7.95,"Data Science,Deep Learning,AWS,Kubernetes,React",1,1,0,0,3,1,90,81,875,0.68,Chasmum Dugar,Gavin Pal,"99/586, Walia Marg
Etawah-947891"
72,Ekaja Kaul,Male,2008-03-08,lhans@example.com,00737119545,Computer Science & Engineering (CSE),2016,6.32,"Linux,Machine Learning,DevOps,SQL,NodeJS",4,1,2,3,2,2,90,69,1612,0.31,Rachana Ramanathan,Fitan Natarajan,"H.No. 846
Upadhyay Ganj
Muzaffarnagar-260282"
73,Rehaan Ratti,Male,2007-10-04,urishillaamble@example.com,9173948993,Computer Science & Engineering (CSE),2016,8.34,"Kubernetes,Python,Cybersecurity,TensorFlow,Cloud Computing",0,2,0,1,2,0,88,7,878,0.81,Tanay Mukhopadhyay,Qarin Dube,"900
Gera Road, Surat-977228"
74,Eesha Yohannan,Female,2003-07-01,nilimawadhwa@example.net,+918394843830,Computer Science & Engineering (CSE),2016,7.35,"Machine Learning,Java,Python,React,Kubernetes",5,1,1,3,2,0,74,63,1247,0.35,Tripti Atwal,Eiravati Savant,"82/462
Mandal Circle
Yamunanagar 504387"
75,Janya Kunda,Male,2006-08-12,wvirk@example.net,+916403833299,Computer Science & Engineering (CSE),2016,7.97,"TensorFlow,Machine Learning,SQL,Data Science,Deep Learning",1,3,1,3,3,0,68,69,2195,0.52,Laksh Barad,Ishani Ghose,"757
Mannan Street
Rajahmundry 673524"
76,Krisha Yogi,Female,2006-02-23,falan15@example.com,+915705459991,Computer Science & Engineering (CSE),2016,9.18,"Python,NodeJS,Linux,Cloud Computing,Docker",2,2,2,2,3,2,83,66,839,0.8,Abha Halder,Hardik Saini,"08, Gole Ganj
Nagaon 647465"
77,Max Balakrishnan,Male,2006-04-08,kvarughese@example.com,07813520672,Computer Science & Engineering (CSE),2016,7.59,"Kubernetes,PyTorch,IoT,React,TensorFlow",4,1,0,1,3,0,91,60,1384,0.62,Tanveer Char,Yahvi Andra,"H.No. 455
Hegde Ganj
Imphal 985669"
78,Ekta Padmanabhan,Male,2006-03-29,glala@example.net,+910063578186,Computer Science & Engineering (CSE),2016,8.73,"React,TensorFlow,Python,AWS,Cybersecurity",0,3,0,1,2,0,57,44,1958,0.57,Aadhya Murthy,Balhaar Kapadia,"H.No. 20, Ravi Road
Parbhani-396521"
79,Wahab Savant,Female,2004-08-31,hemani92@example.net,1620437375,Computer Science & Engineering (CSE),2016,8.85,"PyTorch,AWS,Deep Learning,TensorFlow,Kubernetes",4,0,2,1,0,2,95,42,1293,0.8,Lucky Yadav,Chasmum Reddy,"H.No. 33
Narasimhan Path
Bhind 755021"
80,Megha Hans,Female,2003-06-13,sarnaazaan@example.com,+918191323336,Computer Science & Engineering (CSE),2016,6.16,"Machine Learning,React,IoT,Java,AWS",4,2,0,1,3,0,63,3,1478,0.78,Om Nigam,Abhimanyu Mohan,"79
Tiwari Ganj
Chandigarh-211021"
81,Riya Buch,Female,2005-06-09,kdutt@example.org,+912217305461,Computer Science & Engineering (CSE),2016,8.05,"AWS,Python,React,Kubernetes,TensorFlow",3,2,1,2,1,0,99,41,955,0.88,Chandresh Trivedi,Yutika Chakraborty,"H.No. 348, Dhar Chowk
Navi Mumbai-860149"
82,Wakeeta Thakkar,Male,2003-03-10,damini05@example.net,06338507704,Computer Science & Engineering (CSE),2016,6.28,"Kubernetes,DevOps,Python,Java,PyTorch",2,2,1,1,4,1,55,83,1733,0.53,Triya Rege,Vasudha Kamdar,"097
Nadig Street
Buxar-432918"
83,Ria Bandi,Male,2004-12-27,mallickharshil@example.com,2439604154,Computer Science & Engineering (CSE),2016,8.71,"Docker,AWS,NodeJS,React,Linux",1,1,2,3,2,2,94,49,931,0.32,Warhi Mohanty,Madhavi Dash,"545, Raval Ganj
Guntakal-061706"
84,Hemang Sharma,Female,2006-01-08,forumdhar@example.com,7120861515,Computer Science & Engineering (CSE),2016,6.34,"Java,AWS,Kubernetes,NodeJS,Docker",1,3,0,1,2,1,79,36,1634,0.5,Anika Srinivas,Samaksh Gulati,"35/227, Deol Marg, Berhampore-804796"
85,Urishilla Misra,Male,2002-12-12,balveer17@example.net,9207402114,Computer Science & Engineering (CSE),2016,8.38,"PyTorch,Data Science,Python,NodeJS,Blockchain",2,3,1,2,4,2,50,94,1426,0.39,Harsh Suresh,Balveer Lall,"H.No. 172, Sur Zila
Shimoga-807585"
86,Nandini Dhaliwal,Female,2006-10-19,jagarwal@example.com,+914301102154,Computer Science & Engineering (CSE),2016,9.61,"AWS,Docker,SQL,Linux,Blockchain",0,3,2,1,2,0,60,25,1090,0.48,Jeet Solanki,Yashvi Mall,"H.No. 59, Kata Nagar, Korba-843957"
87,Gaurav Batra,Male,2005-11-09,bhardwajbimala@example.com,05219172712,Computer Science & Engineering (CSE),2016,6.35,"Cybersecurity,Cloud Computing,Data Science,TensorFlow,Linux",3,1,1,0,2,1,56,73,1608,0.53,Nirja Madan,Kamya Pandya,"82, Sankaran Ganj
Bharatpur-292080"
88,Lohit Kapur,Male,2003-12-17,deepaloyal@example.com,08974324557,Computer Science & Engineering (CSE),2016,9.71,"NodeJS,Machine Learning,Linux,Docker,TensorFlow",2,1,2,2,3,2,64,19,1816,0.42,Advika Kulkarni,Triveni Sura,"21/151
Jhaveri Path
Tezpur-992812"
89,Hemal Dugal,Female,2007-06-05,gavin23@example.com,0330594345,Computer Science & Engineering (CSE),2016,7.27,"NodeJS,Python,AWS,Docker,Deep Learning",4,1,2,2,4,2,67,54,1088,0.41,Chanchal Sen,Nakul Gara,"H.No. 35
Chander Marg, Morena-978043"
90,Jagdish Mahal,Female,2004-09-16,edhar@example.net,2388006038,Computer Science & Engineering (CSE),2016,6.71,"Blockchain,Docker,Linux,React,AWS",4,3,1,2,0,0,86,57,1911,0.45,Qasim Gokhale,Rudra Raval,"64/799
Buch Road
Nizamabad 772859"
91,Varsha Din,Female,2005-10-30,kamdarjagvi@example.com,+918813195530,Computer Science & Engineering (CSE),2016,9.58,"Deep Learning,IoT,React,TensorFlow,DevOps",2,1,1,1,4,0,95,89,1281,0.84,Upkaar Sur,Inaya Andra,"92
Bhatti Path, Shimla 273406"
92,Azad Dar,Female,2004-10-18,ftalwar@example.net,07964204402,Computer Science & Engineering (CSE),2016,7.87,"Blockchain,TensorFlow,Python,C++,Docker",3,1,2,2,3,0,91,9,2035,0.75,Jasmit Bhatnagar,Upadhriti Pau,"H.No. 421, Wadhwa Ganj, Kochi 794827"
