Year,StudentID,Name,Branch,CGPA,Skills,Company,Package,Status,Placed_Date,Backlogs,Attendance,Hackathons,Sports,Papers,Conferences,Internships,Clubs,Semester,Maths,DSA,OS,DBMS,AI,Student_Rank,Min_Rank_For_Interview,Placement_Probability_%,Resume_Score,Eligible_For_Interview
2015,2015_S30,Kavya Gupta,DS,6.46,"Cyber Security, Artificial Intelligence, Java",PwC India,2001240,Rejected,,0,89,2,0,1,0,1,2,1,65,68,74,62,57,217,4,67.6,30,FALSE
2015,2015_S31,Shruti Desai,EEE,8.46,"Cyber Security, Cloud Computing, Machine Learning",Intel India,2535000,Rejected,,0,80,0,1,0,1,2,1,7,79,81,85,80,92,389,4,90.6,19,FALSE
2015,2015_S31,Shruti Desai,EEE,8.46,"Cyber Security, Cloud Computing, Machine Learning",PolicyBazaar,427948,Placed,9/3/2015,0,98,3,1,1,1,1,3,6,90,74,77,89,87,387,4,87.6,42,FALSE
2015,2015_S32,Pooja Naidu,DS,6.03,"Machine Learning, Data Analytics, Web Development",Byju's,321959,Rejected,,0,75,1,2,1,1,2,3,1,70,62,62,66,55,468,4,66.3,38,FALSE
2015,2015_S32,Pooja Naidu,DS,6.03,"Machine Learning, Data Analytics, Web Development",Samsung R&D India,2098792,Rejected,,1,76,0,1,2,1,1,2,3,68,66,55,63,55,329,4,58.3,32,FALSE
2015,2015_S33,Aishwarya Menon,CIVIL,7.84,"Data Analytics, Java, Python",PwC India,528576,Rejected,,1,89,0,0,0,2,1,0,4,82,84,70,70,85,472,4,76.4,14,FALSE
2015,2015_S33,Aishwarya Menon,CIVIL,7.84,"Data Analytics, Java, Python",Razorpay,2562990,Attended,,0,81,1,2,2,1,0,3,4,82,85,87,80,87,279,4,78.4,34,FALSE
2015,2015_S34,Bhavana Shetty,ECE,6.64,"DevOps, Cyber Security, Data Analytics",Amazon India,361087,Placed,8/9/2015,0,83,1,2,2,2,2,0,1,67,66,70,71,70,152,4,72.4,41,FALSE
2015,2015_S34,Bhavana Shetty,ECE,6.64,"DevOps, Cyber Security, Data Analytics",Intel India,2515603,Rejected,,0,80,1,0,0,1,1,2,5,57,61,66,56,70,478,4,69.4,21,FALSE
2015,2015_S35,Divya Joshi,CIVIL,7.38,"DevOps, Web Development, Cyber Security",Zomato,739792,Placed,10/20/2015,0,94,0,2,0,2,2,0,7,66,70,81,67,66,420,4,79.8,20,FALSE
2015,2015_S35,Divya Joshi,CIVIL,7.38,"DevOps, Web Development, Cyber Security",Swiggy,365318,Attended,,0,81,1,2,0,1,0,1,3,76,64,82,65,82,392,4,73.8,12,FALSE
2015,2015_S36,Priya Mishra,CSE,7.89,"Java, Artificial Intelligence, Python",Flipkart,716880,Rejected,,0,93,3,1,1,0,1,1,2,71,81,73,77,79,225,4,81.9,32,FALSE
2015,2015_S36,Priya Mishra,CSE,7.89,"Java, Artificial Intelligence, Python",LTIMindtree,1070746,Placed,1/2/2015,0,76,2,0,2,0,2,1,5,87,71,70,87,71,235,4,84.9,41,FALSE
2015,2015_S37,Swathi Reddy,AI,7.91,"Cyber Security, Java, Data Analytics",Mphasis,1700804,Placed,1/1/2015,1,97,1,1,2,0,2,3,8,70,74,83,87,71,483,4,80.1,42,FALSE
2015,2015_S37,Swathi Reddy,AI,7.91,"Cyber Security, Java, Data Analytics",Harman India,1606002,Placed,2/21/2015,0,89,0,0,1,2,0,0,1,87,76,69,84,85,350,4,79.1,16,FALSE
2015,2015_S38,Nandini Iyer,IT,7.86,"Data Analytics, Python, Web Development",Ola,1583743,Rejected,,0,89,0,0,2,2,2,0,7,86,80,69,84,87,401,4,84.6,36,FALSE
2015,2015_S38,Nandini Iyer,IT,7.86,"Data Analytics, Python, Web Development",Google India,981669,Attended,,0,82,0,1,0,1,2,0,2,78,87,87,77,85,243,4,84.6,16,FALSE
2015,2015_S39,Keerthi Rao,DS,6.92,"Python, Cyber Security, DevOps",Zomato,1419043,Placed,7/11/2015,0,98,3,0,1,2,2,3,7,78,68,78,70,75,277,4,75.2,52,FALSE
2015,2015_S39,Keerthi Rao,DS,6.92,"Python, Cyber Security, DevOps",MakeMyTrip,2506903,Placed,11/17/2015,0,90,2,2,0,1,2,3,6,61,66,68,62,68,202,4,75.2,35,FALSE
2015,2015_S40,Vaishnavi Bhat,MECH,8.77,"Cloud Computing, SQL, Artificial Intelligence",Oracle India,2765604,Placed,4/2/2015,1,79,3,0,1,0,0,2,4,79,89,87,94,79,300,4,82.7,29,FALSE
2015,2015_S40,Vaishnavi Bhat,MECH,8.77,"Cloud Computing, SQL, Artificial Intelligence",IBM India,1961909,Placed,11/16/2015,1,93,0,2,2,0,0,1,8,95,95,95,92,79,444,4,82.7,19,FALSE
2015,2015_S41,Student_41,AI,9.03,"Machine Learning, Cyber Security, Web Development",Persistent Systems,1704104,Placed,12/27/2015,1,85,0,0,1,1,2,0,4,92,80,82,95,87,487,4,91.3,24,FALSE
2015,2015_S41,Student_41,AI,9.03,"Machine Learning, Cyber Security, Web Development",Tech Mahindra,2448815,Rejected,,0,83,2,0,1,1,0,2,1,84,90,85,93,86,177,3,90.3,28,FALSE
2015,2015_S42,Student_42,IT,6.15,"Cyber Security, Web Development, Cloud Computing",Tata Power,611955,Rejected,,0,95,2,2,1,2,0,1,6,58,70,66,55,56,403,4,61.5,29,FALSE
2015,2015_S42,Student_42,IT,6.15,"Cyber Security, Web Development, Cloud Computing",Samsung R&D India,2509699,Rejected,,0,86,2,1,0,2,2,0,4,55,62,63,59,56,377,4,67.5,30,FALSE
2015,2015_S43,Student_43,ECE,6.06,"Cyber Security, Artificial Intelligence, Cloud Computing",Tata Elxsi,1907618,Attended,,0,96,0,0,2,1,0,1,5,60,64,56,62,59,218,4,60.6,23,FALSE
2015,2015_S43,Student_43,ECE,6.06,"Cyber Security, Artificial Intelligence, Cloud Computing",PhonePe,442483,Attended,,0,95,2,2,0,1,2,1,3,55,64,55,58,56,25,4,66.6,29,TRUE
2015,2015_S44,Student_44,IT,8.45,"Machine Learning, Artificial Intelligence, Web Development",Freshworks,2611987,Rejected,,1,96,1,0,2,0,0,2,1,74,79,91,77,89,265,4,79.5,27,FALSE
2015,2015_S44,Student_44,IT,8.45,"Machine Learning, Artificial Intelligence, Web Development",PhonePe,701896,Rejected,,1,75,0,0,1,1,1,3,8,85,92,90,94,93,296,4,82.5,27,FALSE
2015,2015_S45,Student_45,IT,8.63,"Web Development, Data Analytics, Artificial Intelligence",DRDO Contractor,371295,Rejected,,0,82,0,0,1,2,0,1,2,77,78,86,83,92,282,4,86.3,19,FALSE
2015,2015_S45,Student_45,IT,8.63,"Web Development, Data Analytics, Artificial Intelligence",MakeMyTrip,1043974,Rejected,,0,92,3,2,1,0,1,0,7,91,86,77,77,95,284,4,89.3,29,FALSE
2015,2015_S46,Student_46,CSE,9.56,"Cyber Security, Java, Web Development",Tata Power,1356731,Rejected,,0,75,3,2,1,1,2,2,3,95,95,89,95,87,392,4,100,45,FALSE
2015,2015_S46,Student_46,CSE,9.56,"Cyber Security, Java, Web Development",Tata Elxsi,1125816,Placed,2/23/2015,1,77,3,1,0,0,0,3,4,85,95,95,95,95,100,4,90.6,24,FALSE
2015,2015_S47,Student_47,EEE,8.06,"Python, Web Development, Data Analytics",Flipkart,2326793,Rejected,,0,88,2,2,2,2,2,3,1,79,79,81,77,72,111,4,86.6,55,FALSE
2015,2015_S47,Student_47,EEE,8.06,"Python, Web Development, Data Analytics",Bharat Electronics,854594,Placed,7/16/2015,0,79,0,2,0,2,1,1,7,73,75,85,85,81,117,4,83.6,17,FALSE
2015,2015_S48,Student_48,AI,9.11,"DevOps, Python, Web Development",Samsung R&D India,2504664,Rejected,,0,85,2,1,1,0,2,2,2,92,90,88,87,81,449,4,97.1,36,FALSE
2015,2015_S48,Student_48,AI,9.11,"DevOps, Python, Web Development",HCL Technologies,447443,Placed,12/17/2015,0,92,1,2,0,1,2,1,6,95,95,95,83,94,363,4,97.1,24,FALSE
2015,2015_S49,Student_49,EEE,6.92,"DevOps, Data Analytics, Cyber Security",Tech Mahindra,1714447,Placed,12/5/2015,0,86,1,2,0,1,0,0,1,67,74,64,73,61,318,3,69.2,9,FALSE
2015,2015_S49,Student_49,EEE,6.92,"DevOps, Data Analytics, Cyber Security",Cognizant India,417796,Attended,,1,78,3,0,2,2,0,1,8,76,60,78,75,64,53,4,64.2,42,FALSE
2015,2015_S50,Student_50,MECH,9.35,"Machine Learning, Java, Python",Reliance Jio,1290198,Placed,9/9/2015,0,86,1,2,0,0,2,0,2,89,93,90,95,84,64,4,99.5,17,FALSE
2015,2015_S50,Student_50,MECH,9.35,"Machine Learning, Java, Python",Indian Oil Corporation,2777154,Rejected,,1,76,1,2,1,2,0,3,1,91,95,89,88,91,388,4,88.5,30,FALSE
2015,2015_S51,Student_51,DS,8.66,"Artificial Intelligence, Cloud Computing, Web Development",Indian Oil Corporation,1879159,Rejected,,1,96,1,0,2,1,0,0,7,94,95,92,86,87,324,4,81.6,25,FALSE
2015,2015_S51,Student_51,DS,8.66,"Artificial Intelligence, Cloud Computing, Web Development",Mphasis,1207317,Attended,,1,79,1,0,2,0,0,1,7,78,95,88,80,86,168,4,81.6,24,FALSE
2015,2015_S52,Student_52,DS,8.96,"Cyber Security, Cloud Computing, Python",Persistent Systems,2147191,Rejected,,0,97,1,2,1,1,1,2,2,95,95,93,95,95,331,4,92.6,29,FALSE
2015,2015_S52,Student_52,DS,8.96,"Cyber Security, Cloud Computing, Python",Amazon India,1771091,Placed,11/17/2015,0,97,3,1,2,1,2,2,7,95,81,90,86,91,193,4,95.6,53,FALSE
2015,2015_S53,Student_53,DS,6.61,"SQL, Cyber Security, Artificial Intelligence",Deloitte India,801157,Rejected,,0,95,2,2,1,0,0,3,1,71,65,67,71,65,201,4,66.1,27,FALSE
2015,2015_S53,Student_53,DS,6.61,"SQL, Cyber Security, Artificial Intelligence",Harman India,484423,Rejected,,0,75,3,2,0,0,1,1,4,66,64,56,68,71,301,4,69.1,24,FALSE
2015,2015_S54,Student_54,ECE,8.3,"Data Analytics, Web Development, Cyber Security",Oracle India,2052290,Placed,9/3/2015,0,84,2,0,2,1,2,0,7,90,78,78,86,75,391,4,89,42,FALSE
2015,2015_S54,Student_54,ECE,8.3,"Data Analytics, Web Development, Cyber Security",Swiggy,433272,Placed,2/14/2015,0,85,2,1,0,2,1,0,8,79,74,83,91,81,394,4,86,24,FALSE
2015,2015_S55,Student_55,AI,8.09,"Data Analytics, Cyber Security, Java",IBM India,2400021,Placed,3/16/2015,0,75,2,0,2,2,0,3,1,74,84,83,90,81,454,4,80.9,43,FALSE
2015,2015_S55,Student_55,AI,8.09,"Data Analytics, Cyber Security, Java",Mphasis,1660828,Rejected,,1,96,3,2,0,2,1,2,6,73,89,71,84,71,102,4,78.9,35,FALSE
2015,2015_S56,Student_56,DS,6.85,"Java, Artificial Intelligence, Cloud Computing",Freshworks,1438848,Rejected,,0,80,2,2,0,2,1,0,1,63,72,72,67,69,230,4,71.5,24,FALSE
2015,2015_S56,Student_56,DS,6.85,"Java, Artificial Intelligence, Cloud Computing",Larsen & Toubro,2435619,Placed,1/14/2015,1,92,1,2,1,0,0,2,5,77,61,63,75,78,92,4,63.5,19,FALSE
2015,2015_S57,Student_57,ECE,7.24,"Cloud Computing, Data Analytics, SQL",Harman India,2007923,Rejected,,0,78,0,0,0,2,0,2,2,73,69,77,72,82,397,4,72.4,14,FALSE
2015,2015_S57,Student_57,ECE,7.24,"Cloud Computing, Data Analytics, SQL",Reliance Jio,1407447,Attended,,0,84,2,2,1,1,2,2,2,65,72,71,77,79,373,4,78.4,40,FALSE
2015,2015_S58,Student_58,IT,8.47,"Java, Data Analytics, Web Development",Infosys BPM,1317026,Rejected,,0,81,2,0,0,0,2,1,8,87,92,90,79,90,374,4,90.7,25,FALSE
2015,2015_S58,Student_58,IT,8.47,"Java, Data Analytics, Web Development",Siemens India,1959280,Attended,,0,85,2,1,1,1,2,0,8,91,84,89,86,90,497,4,90.7,34,FALSE
2015,2015_S59,Student_59,AI,7.17,"Java, Machine Learning, Cyber Security",Razorpay,2653839,Rejected,,0,82,0,2,2,1,1,3,8,70,63,79,63,66,207,4,74.7,35,FALSE
2015,2015_S59,Student_59,AI,7.17,"Java, Machine Learning, Cyber Security",PolicyBazaar,407450,Rejected,,0,77,3,2,1,0,0,2,7,64,71,76,61,80,422,4,71.7,29,FALSE
2015,2015_S60,Student_60,ECE,7.4,"Machine Learning, Python, DevOps",Zoho,2679126,Placed,6/14/2015,0,79,1,1,2,0,1,2,4,83,81,70,64,77,35,6,77,33,TRUE
2015,2015_S60,Student_60,ECE,7.4,"Machine Learning, Python, DevOps",Tata Power,416381,Rejected,,0,89,1,0,0,0,0,2,2,81,76,81,64,64,237,4,74,11,FALSE
2015,2015_S61,Student_61,MECH,9.7,"Artificial Intelligence, Java, Cloud Computing",Amazon India,2531660,Placed,3/22/2015,0,94,2,2,0,1,2,2,5,93,90,95,95,92,136,4,100,32,FALSE
2015,2015_S61,Student_61,MECH,9.7,"Artificial Intelligence, Java, Cloud Computing",Samsung R&D India,1499386,Placed,11/2/2015,0,83,3,0,1,2,2,0,7,93,88,95,90,95,238,4,100,43,FALSE
2015,2015_S62,Student_62,DS,7.33,"Java, Python, Machine Learning",MakeMyTrip,2757184,Placed,12/15/2015,0,96,0,0,1,0,1,3,8,69,70,79,67,74,77,4,76.3,23,FALSE
2015,2015_S62,Student_62,DS,7.33,"Java, Python, Machine Learning",Zensar Technologies,1718175,Rejected,,1,96,3,2,1,0,0,3,1,80,77,69,66,64,318,4,68.3,32,FALSE
2015,2015_S63,Student_63,ECE,9.28,"Artificial Intelligence, Java, Web Development",IBM India,1029903,Placed,3/4/2015,0,96,1,0,1,0,2,1,7,95,86,83,95,94,164,4,98.8,28,FALSE
2015,2015_S63,Student_63,ECE,9.28,"Artificial Intelligence, Java, Web Development",Zensar Technologies,1815536,Rejected,,0,96,0,2,2,2,2,0,1,85,95,95,85,84,312,4,98.8,36,FALSE
2015,2015_S64,Student_64,DS,9.78,"Cloud Computing, Python, Artificial Intelligence",Capgemini India,1236093,Rejected,,0,82,3,0,0,1,1,1,8,95,95,90,95,87,483,4,100,28,FALSE
2015,2015_S64,Student_64,DS,9.78,"Cloud Computing, Python, Artificial Intelligence",Adani Group,1431565,Rejected,,0,82,3,0,1,2,0,1,5,91,95,95,95,88,261,4,97.8,34,FALSE
2015,2015_S65,Student_65,MECH,9.48,"Machine Learning, Artificial Intelligence, SQL",IBM India,478274,Placed,12/9/2015,0,90,1,2,0,2,2,3,7,95,95,95,95,95,47,4,100,34,FALSE
2015,2015_S65,Student_65,MECH,9.48,"Machine Learning, Artificial Intelligence, SQL",Havells,2231760,Attended,,0,94,3,1,2,2,2,2,2,87,95,95,87,94,469,4,100,57,FALSE
2015,2015_S66,Student_66,MECH,8.1,"Cyber Security, Web Development, Python",Accenture India,415294,Rejected,,0,85,1,1,0,1,0,2,3,78,87,76,89,77,225,4,81,15,FALSE
