Year,StudentID,Name,Branch,CGPA,Skills,Company,Package,Status,Placed_Date
2015,2015_S16,Sai Ghosh,EEE,9.67,"Data Analytics, Cloud Computing, Artificial Intelligence",Freshworks,2700070,Attended,
2015,2015_S17,Aarav Menon,CSE,7.61,"Python, Web Development, Cyber Security",PolicyBazaar,1804384,Placed,2015-12-08
2015,2015_S17,Aarav Menon,CSE,7.61,"Python, Web Development, Cyber Security",Nykaa,2052126,Placed,2015-11-19
2015,2015_S18,Ishita Menon,CSE,8.69,"Cloud Computing, Web Development, Data Analytics",Indian Oil Corporation,2411138,Rejected,
2015,2015_S18,Ishita Menon,CSE,8.69,"Cloud Computing, Web Development, Data Analytics",Infosys,886146,Placed,2015-01-27
2015,2015_S19,Karthik Sharma,ECE,6.28,"DevOps, Machine Learning, Java",Reliance Jio,588998,Attended,
2015,2015_S19,Karthik Sharma,ECE,6.28,"DevOps, Machine Learning, Java",Siemens India,2143400,Attended,
2015,2015_S20,Karthik Desai,CIVIL,8.37,"DevOps, Python, Web Development",Samsung R&D India,651279,Rejected,
2015,2015_S20,Karthik Desai,CIVIL,8.37,"DevOps, Python, Web Development",IBM India,2170230,Rejected,
2015,2015_S21,Ananya Gupta,IT,8.54,"Web Development, Python, SQL",Nykaa,789570,Rejected,
2015,2015_S21,Ananya Gupta,IT,8.54,"Web Development, Python, SQL",Adani Group,2350731,Rejected,
2015,2015_S22,Aarav Verma,EEE,8.42,"Cloud Computing, Data Analytics, DevOps",Nykaa,2421690,Placed,2015-03-01
2015,2015_S22,Aarav Verma,EEE,8.42,"Cloud Computing, Data Analytics, DevOps",ISRO Contractor,791234,Attended,
2015,2015_S23,Meera Patel,ECE,6.45,"SQL, Artificial Intelligence, DevOps",Qualcomm India,1821101,Attended,
2015,2015_S23,Meera Patel,ECE,6.45,"SQL, Artificial Intelligence, DevOps",Freshworks,1506914,Rejected,
2015,2015_S24,Kavya Kapoor,CSE,8.89,"Python, Artificial Intelligence, Data Analytics",Harman India,2272990,Rejected,
2015,2015_S24,Kavya Kapoor,CSE,8.89,"Python, Artificial Intelligence, Data Analytics",Capgemini India,1197421,Placed,2015-07-27
2015,2015_S25,Krishna Sharma,CSE,7.99,"Java, Python, DevOps",NVIDIA India,2616121,Placed,2015-10-13
2015,2015_S25,Krishna Sharma,CSE,7.99,"Java, Python, DevOps",Infosys,2650770,Rejected,
2015,2015_S26,Arjun Patel,EEE,6.12,"DevOps, Cloud Computing, Data Analytics",Mindtree,1174371,Rejected,
2015,2015_S26,Arjun Patel,EEE,6.12,"DevOps, Cloud Computing, Data Analytics",Microsoft India,1759933,Attended,
2015,2015_S27,Aishwarya Gupta,ECE,6.53,"Artificial Intelligence, Data Analytics, Cyber Security",Deloitte India,1273548,Placed,2015-11-04
2015,2015_S27,Aishwarya Gupta,ECE,6.53,"Artificial Intelligence, Data Analytics, Cyber Security",Tata Elxsi,2321900,Attended,
2015,2015_S28,Neha Singh,IT,6.29,"Artificial Intelligence, Web Development, Java",Nykaa,2228434,Placed,2015-06-02
2015,2015_S28,Neha Singh,IT,6.29,"Artificial Intelligence, Web Development, Java",Mindtree,1719945,Placed,2015-09-21
2015,2015_S29,Neha Malhotra,EEE,9.31,"DevOps, SQL, Web Development",Microsoft India,500235,Rejected,
2015,2015_S29,Neha Malhotra,EEE,9.31,"DevOps, SQL, Web Development",KPMG India,2423091,Placed,2015-11-26
2015,2015_S30,Pooja Yadav,DS,6.46,"Cyber Security, Artificial Intelligence, Java",Amazon India,2784413,Placed,2015-01-01
2015,2015_S30,Pooja Yadav,DS,6.46,"Cyber Security, Artificial Intelligence, Java",PwC India,2001240,Rejected,
2015,2015_S31,Aishwarya Rao,EEE,8.46,"Cyber Security, Cloud Computing, Machine Learning",Intel India,2535000,Rejected,
2015,2015_S31,Aishwarya Rao,EEE,8.46,"Cyber Security, Cloud Computing, Machine Learning",PolicyBazaar,427948,Placed,2015-09-03
2015,2015_S32,Aarav Kulkarni,DS,6.03,"Machine Learning, Data Analytics, Web Development",Byju's,321959,Rejected,
2015,2015_S32,Aarav Kulkarni,DS,6.03,"Machine Learning, Data Analytics, Web Development",Samsung R&D India,2098792,Rejected,
2015,2015_S33,Pooja Singh,CIVIL,7.84,"Data Analytics, Java, Python",PwC India,528576,Rejected,
2015,2015_S33,Pooja Singh,CIVIL,7.84,"Data Analytics, Java, Python",Razorpay,2562990,Attended,
2015,2015_S34,Rohan Desai,ECE,6.64,"DevOps, Cyber Security, Data Analytics",Amazon India,361087,Placed,2015-08-09
2015,2015_S34,Rohan Desai,ECE,6.64,"DevOps, Cyber Security, Data Analytics",Intel India,2515603,Rejected,
2015,2015_S35,Rohan Choudhary,CIVIL,7.38,"DevOps, Web Development, Cyber Security",Zomato,739792,Placed,2015-10-20
2015,2015_S35,Rohan Choudhary,CIVIL,7.38,"DevOps, Web Development, Cyber Security",Swiggy,365318,Attended,
2015,2015_S36,Pooja Bose,CSE,7.89,"Java, Artificial Intelligence, Python",Flipkart,716880,Rejected,
2015,2015_S36,Pooja Bose,CSE,7.89,"Java, Artificial Intelligence, Python",LTIMindtree,1070746,Placed,2015-01-02
2015,2015_S37,Ananya Gupta,AI,7.91,"Cyber Security, Java, Data Analytics",Mphasis,1700804,Placed,2015-01-01
2015,2015_S37,Ananya Gupta,AI,7.91,"Cyber Security, Java, Data Analytics",Harman India,1606002,Placed,2015-02-21
2015,2015_S38,Ananya Rao,IT,7.86,"Data Analytics, Python, Web Development",Ola,1583743,Rejected,
2015,2015_S38,Ananya Rao,IT,7.86,"Data Analytics, Python, Web Development",Google India,981669,Attended,
2015,2015_S39,Pooja Iyer,DS,6.92,"Python, Cyber Security, DevOps",Zomato,1419043,Placed,2015-07-11
2015,2015_S39,Pooja Iyer,DS,6.92,"Python, Cyber Security, DevOps",MakeMyTrip,2506903,Placed,2015-11-17
2015,2015_S40,Karthik Kapoor,MECH,8.77,"Cloud Computing, SQL, Artificial Intelligence",Oracle India,2765604,Placed,2015-04-02
2015,2015_S40,Karthik Kapoor,MECH,8.77,"Cloud Computing, SQL, Artificial Intelligence",IBM India,1961909,Placed,2015-11-16
2015,2015_S41,Aarav Reddy,AI,9.03,"Machine Learning, Cyber Security, Web Development",Persistent Systems,1704104,Placed,2015-12-27
2015,2015_S41,Aarav Reddy,AI,9.03,"Machine Learning, Cyber Security, Web Development",Tech Mahindra,2448815,Rejected,
2015,2015_S42,Ishita Rao,IT,6.15,"Cyber Security, Web Development, Cloud Computing",Tata Power,611955,Rejected,
2015,2015_S42,Ishita Rao,IT,6.15,"Cyber Security, Web Development, Cloud Computing",Samsung R&D India,2509699,Rejected,
2015,2015_S43,Aishwarya Yadav,ECE,6.06,"Cyber Security, Artificial Intelligence, Cloud Computing",Tata Elxsi,1907618,Attended,
2015,2015_S43,Aishwarya Yadav,ECE,6.06,"Cyber Security, Artificial Intelligence, Cloud Computing",PhonePe,442483,Attended,
2015,2015_S44,Sneha Malhotra,IT,8.45,"Machine Learning, Artificial Intelligence, Web Development",Freshworks,2611987,Rejected,
2015,2015_S44,Sneha Malhotra,IT,8.45,"Machine Learning, Artificial Intelligence, Web Development",PhonePe,701896,Rejected,
2015,2015_S45,Priya Ghosh,IT,8.63,"Web Development, Data Analytics, Artificial Intelligence",DRDO Contractor,371295,Rejected,
2015,2015_S45,Priya Ghosh,IT,8.63,"Web Development, Data Analytics, Artificial Intelligence",MakeMyTrip,1043974,Rejected,
2015,2015_S46,Aditya Kapoor,CSE,9.56,"Cyber Security, Java, Web Development",Tata Power,1356731,Rejected,
2015,2015_S46,Aditya Kapoor,CSE,9.56,"Cyber Security, Java, Web Development",Tata Elxsi,1125816,Placed,2015-02-23
2015,2015_S47,Ananya Ghosh,EEE,8.06,"Python, Web Development, Data Analytics",Flipkart,2326793,Rejected,
2015,2015_S47,Ananya Ghosh,EEE,8.06,"Python, Web Development, Data Analytics",Bharat Electronics,854594,Placed,2015-07-16
2015,2015_S48,Sneha Rao,AI,9.11,"DevOps, Python, Web Development",Samsung R&D India,2504664,Rejected,
2015,2015_S48,Sneha Rao,AI,9.11,"DevOps, Python, Web Development",HCL Technologies,447443,Placed,2015-12-17
2015,2015_S49,Karthik Kulkarni,EEE,6.92,"DevOps, Data Analytics, Cyber Security",Tech Mahindra,1714447,Placed,2015-12-05
2015,2015_S49,Karthik Kulkarni,EEE,6.92,"DevOps, Data Analytics, Cyber Security",Cognizant India,417796,Attended,
2015,2015_S50,Pooja Patel,MECH,9.35,"Machine Learning, Java, Python",Reliance Jio,1290198,Placed,2015-09-09
2015,2015_S50,Pooja Patel,MECH,9.35,"Machine Learning, Java, Python",Indian Oil Corporation,2777154,Rejected,
2015,2015_S51,Ananya Gupta,DS,8.66,"Artificial Intelligence, Cloud Computing, Web Development",Indian Oil Corporation,1879159,Rejected,
2015,2015_S51,Ananya Gupta,DS,8.66,"Artificial Intelligence, Cloud Computing, Web Development",Mphasis,1207317,Attended,
2015,2015_S52,Aarav Reddy,DS,8.96,"Cyber Security, Cloud Computing, Python",Persistent Systems,2147191,Rejected,
2015,2015_S52,Aarav Reddy,DS,8.96,"Cyber Security, Cloud Computing, Python",Amazon India,1771091,Placed,2015-11-17
2015,2015_S53,Divya Pillai,DS,6.61,"SQL, Cyber Security, Artificial Intelligence",Deloitte India,801157,Rejected,
2015,2015_S53,Divya Pillai,DS,6.61,"SQL, Cyber Security, Artificial Intelligence",Harman India,484423,Rejected,
2015,2015_S54,Sai Yadav,ECE,8.3,"Data Analytics, Web Development, Cyber Security",Oracle India,2052290,Placed,2015-09-03
2015,2015_S54,Sai Yadav,ECE,8.3,"Data Analytics, Web Development, Cyber Security",Swiggy,433272,Placed,2015-02-14
2015,2015_S55,Vikram Kulkarni,AI,8.09,"Data Analytics, Cyber Security, Java",IBM India,2400021,Placed,2015-03-16
2015,2015_S55,Vikram Kulkarni,AI,8.09,"Data Analytics, Cyber Security, Java",Mphasis,1660828,Rejected,
2015,2015_S56,Priya Gupta,DS,6.85,"Java, Artificial Intelligence, Cloud Computing",Freshworks,1438848,Rejected,
2015,2015_S56,Priya Gupta,DS,6.85,"Java, Artificial Intelligence, Cloud Computing",Larsen & Toubro,2435619,Placed,2015-01-14
2015,2015_S57,Ishita Malhotra,ECE,7.24,"Cloud Computing, Data Analytics, SQL",Harman India,2007923,Rejected,
2015,2015_S57,Ishita Malhotra,ECE,7.24,"Cloud Computing, Data Analytics, SQL",Reliance Jio,1407447,Attended,
2015,2015_S58,Ishita Desai,IT,8.47,"Java, Data Analytics, Web Development",Infosys BPM,1317026,Rejected,
2015,2015_S58,Ishita Desai,IT,8.47,"Java, Data Analytics, Web Development",Siemens India,1959280,Attended,
2015,2015_S59,Aarav Pillai,AI,7.17,"Java, Machine Learning, Cyber Security",Razorpay,2653839,Rejected,
2015,2015_S59,Aarav Pillai,AI,7.17,"Java, Machine Learning, Cyber Security",PolicyBazaar,407450,Rejected,
2015,2015_S60,Arjun Reddy,ECE,7.4,"Machine Learning, Python, DevOps",Zoho,2679126,Placed,2015-06-14
2015,2015_S60,Arjun Reddy,ECE,7.4,"Machine Learning, Python, DevOps",Tata Power,416381,Rejected,
2015,2015_S61,Sneha Joshi,MECH,9.7,"Artificial Intelligence, Java, Cloud Computing",Amazon India,2531660,Placed,2015-03-22
2015,2015_S61,Sneha Joshi,MECH,9.7,"Artificial Intelligence, Java, Cloud Computing",Samsung R&D India,1499386,Placed,2015-11-02
2015,2015_S62,Ananya Reddy,DS,7.33,"Java, Python, Machine Learning",MakeMyTrip,2757184,Placed,2015-12-15
2015,2015_S62,Ananya Reddy,DS,7.33,"Java, Python, Machine Learning",Zensar Technologies,1718175,Rejected,
2015,2015_S63,Ishita Menon,ECE,9.28,"Artificial Intelligence, Java, Web Development",IBM India,1029903,Placed,2015-03-04
2015,2015_S63,Ishita Menon,ECE,9.28,"Artificial Intelligence, Java, Web Development",Zensar Technologies,1815536,Rejected,
2015,2015_S64,Krishna Nair,DS,9.78,"Cloud Computing, Python, Artificial Intelligence",Capgemini India,1236093,Rejected,
2015,2015_S64,Krishna Nair,DS,9.78,"Cloud Computing, Python, Artificial Intelligence",Adani Group,1431565,Rejected,
2015,2015_S65,Krishna Verma,MECH,9.48,"Machine Learning, Artificial Intelligence, SQL",IBM India,478274,Placed,2015-12-09
2015,2015_S65,Krishna Verma,MECH,9.48,"Machine Learning, Artificial Intelligence, SQL",Havells,2231760,Attended,
2015,2015_S66,Sneha Rao,MECH,8.1,"Cyber Security, Web Development, Python",Accenture India,415294,Rejected,
2015,2015_S66,Sneha Rao,MECH,8.1,"Cyber Security, Web Development, Python",Infosys,2320320,Attended,
2015,2015_S67,Meera Reddy,EEE,6.29,"Artificial Intelligence, SQL, Java",Siemens India,441564,Placed,2015-05-23
2015,2015_S67,Meera Reddy,EEE,6.29,"Artificial Intelligence, SQL, Java",Samsung R&D India,2515167,Placed,2015-03-18
2015,2015_S68,Meera Reddy,IT,8.12,"Artificial Intelligence, Web Development, Machine Learning",Zoho,2289173,Rejected,
2015,2015_S68,Meera Reddy,IT,8.12,"Artificial Intelligence, Web Development, Machine Learning",Persistent Systems,1714466,Attended,
2015,2015_S69,Aishwarya Malhotra,ECE,8.17,"Artificial Intelligence, Java, DevOps",Tata Power,2433783,Rejected,
2015,2015_S69,Aishwarya Malhotra,ECE,8.17,"Artificial Intelligence, Java, DevOps",Tata Power,1352590,Placed,2015-06-23
2015,2015_S70,Priya Sharma,MECH,6.53,"Web Development, Machine Learning, SQL",ISRO Contractor,1883593,Placed,2015-02-26
2015,2015_S70,Priya Sharma,MECH,6.53,"Web Development, Machine Learning, SQL",Intel India,2594544,Attended,
2015,2015_S71,Rahul Pillai,AI,9.22,"Cyber Security, Cloud Computing, Web Development",Intel India,1741578,Attended,
2015,2015_S71,Rahul Pillai,AI,9.22,"Cyber Security, Cloud Computing, Web Development",Qualcomm India,798863,Rejected,
2015,2015_S72,Vikram Singh,ECE,8.1,"Web Development, Machine Learning, DevOps",Zomato,2632514,Rejected,
2015,2015_S72,Vikram Singh,ECE,8.1,"Web Development, Machine Learning, DevOps",Zoho,1792785,Placed,2015-09-24
2015,2015_S73,Rohan Gupta,CIVIL,9.47,"Web Development, Artificial Intelligence, Machine Learning",Reliance Jio,1597286,Attended,
2015,2015_S73,Rohan Gupta,CIVIL,9.47,"Web Development, Artificial Intelligence, Machine Learning",Adani Group,2618136,Placed,2015-04-13
2015,2015_S74,Sai Verma,ECE,6.74,"DevOps, Artificial Intelligence, Web Development",Havells,1586125,Rejected,
2015,2015_S74,Sai Verma,ECE,6.74,"DevOps, Artificial Intelligence, Web Development",Wipro,1832875,Rejected,
2015,2015_S75,Vivaan Ghosh,DS,9.37,"DevOps, Cloud Computing, Python",Harman India,1472622,Rejected,
2015,2015_S75,Vivaan Ghosh,DS,9.37,"DevOps, Cloud Computing, Python",NVIDIA India,1296161,Placed,2015-07-22
2015,2015_S76,Arjun Yadav,CIVIL,7.25,"Cyber Security, Python, Cloud Computing",Google India,1999005,Placed,2015-06-26
2015,2015_S76,Arjun Yadav,CIVIL,7.25,"Cyber Security, Python, Cloud Computing",Microsoft India,527897,Rejected,
2015,2015_S77,Aishwarya Pillai,IT,6.12,"Machine Learning, SQL, Artificial Intelligence",Bharat Electronics,1325715,Attended,
2015,2015_S77,Aishwarya Pillai,IT,6.12,"Machine Learning, SQL, Artificial Intelligence",Mphasis,1738533,Rejected,
2015,2015_S78,Ananya Nair,CIVIL,7.15,"SQL, Artificial Intelligence, Python",Paytm,761243,Attended,
2015,2015_S78,Ananya Nair,CIVIL,7.15,"SQL, Artificial Intelligence, Python",TCS,2358852,Attended,
2015,2015_S79,Aishwarya Yadav,AI,7.98,"Data Analytics, Cyber Security, SQL",Byju's,2285588,Rejected,
2015,2015_S79,Aishwarya Yadav,AI,7.98,"Data Analytics, Cyber Security, SQL",MakeMyTrip,551451,Attended,
2015,2015_S80,Rohan Patel,CSE,6.82,"SQL, Cyber Security, Web Development",Oracle India,1304646,Rejected,
2015,2015_S80,Rohan Patel,CSE,6.82,"SQL, Cyber Security, Web Development",IBM India,1960099,Placed,2015-06-13
2015,2015_S81,Ananya Kapoor,AI,6.74,"Artificial Intelligence, Data Analytics, DevOps",Flipkart,1249597,Rejected,
2015,2015_S81,Ananya Kapoor,AI,6.74,"Artificial Intelligence, Data Analytics, DevOps",MakeMyTrip,1560386,Placed,2015-07-08
2015,2015_S82,Sai Ghosh,CSE,8.76,"Python, Machine Learning, Cloud Computing",Google India,1443052,Placed,2015-02-10
2015,2015_S82,Sai Ghosh,CSE,8.76,"Python, Machine Learning, Cloud Computing",Harman India,522866,Rejected,
2015,2015_S83,Rohan Ghosh,CSE,9.02,"Cloud Computing, SQL, DevOps",Byju's,1693470,Rejected,
2015,2015_S83,Rohan Ghosh,CSE,9.02,"Cloud Computing, SQL, DevOps",Samsung R&D India,2425403,Placed,2015-10-23
2015,2015_S84,Arjun Verma,AI,6.95,"Artificial Intelligence, Web Development, Machine Learning",PhonePe,483062,Attended,
2015,2015_S84,Arjun Verma,AI,6.95,"Artificial Intelligence, Web Development, Machine Learning",TCS,2791518,Placed,2015-09-12
2015,2015_S85,Arjun Desai,MECH,7.55,"DevOps, Machine Learning, Web Development",Qualcomm India,2201625,Placed,2015-10-01
2015,2015_S85,Arjun Desai,MECH,7.55,"DevOps, Machine Learning, Web Development",EY India,1343233,Placed,2015-06-16
2015,2015_S86,Aishwarya Joshi,IT,6.69,"DevOps, Machine Learning, Web Development",NVIDIA India,487628,Rejected,
2015,2015_S86,Aishwarya Joshi,IT,6.69,"DevOps, Machine Learning, Web Development",Amazon India,2770784,Attended,
2015,2015_S87,Sneha Yadav,EEE,9.63,"Python, Artificial Intelligence, Data Analytics",Cognizant India,841252,Rejected,
2015,2015_S87,Sneha Yadav,EEE,9.63,"Python, Artificial Intelligence, Data Analytics",Intel India,1986293,Placed,2015-07-03
2015,2015_S88,Aarav Desai,AI,6.94,"DevOps, Data Analytics, Cyber Security",IBM India,2464367,Attended,
2015,2015_S88,Aarav Desai,AI,6.94,"DevOps, Data Analytics, Cyber Security",TCS,2204050,Placed,2015-05-22
2015,2015_S89,Pooja Patel,EEE,6.05,"Artificial Intelligence, SQL, Cloud Computing",Tech Mahindra,309435,Rejected,
2015,2015_S89,Pooja Patel,EEE,6.05,"Artificial Intelligence, SQL, Cloud Computing",Zomato,747556,Rejected,
2015,2015_S90,Divya Verma,MECH,6.36,"Web Development, Python, Data Analytics",Wipro,378781,Rejected,
2015,2015_S90,Divya Verma,MECH,6.36,"Web Development, Python, Data Analytics",Zensar Technologies,2588627,Rejected,
2015,2015_S91,Meera Choudhary,AI,6.67,"SQL, Cyber Security, Web Development",Havells,2703215,Attended,
2015,2015_S91,Meera Choudhary,AI,6.67,"SQL, Cyber Security, Web Development",DRDO Contractor,1064121,Attended,
2015,2015_S92,Aditya Choudhary,IT,8.9,"Data Analytics, Machine Learning, Web Development",Zomato,1469748,Rejected,
2015,2015_S92,Aditya Choudhary,IT,8.9,"Data Analytics, Machine Learning, Web Development",Persistent Systems,1804544,Attended,
2015,2015_S93,Rohan Rao,AI,7.77,"Artificial Intelligence, Cyber Security, Web Development",TCS,1844548,Placed,2015-07-26
2015,2015_S93,Rohan Rao,AI,7.77,"Artificial Intelligence, Cyber Security, Web Development",TCS,1708836,Rejected,
2015,2015_S94,Pooja Joshi,MECH,9.37,"DevOps, Data Analytics, Artificial Intelligence",Microsoft India,950419,Rejected,
2015,2015_S94,Pooja Joshi,MECH,9.37,"DevOps, Data Analytics, Artificial Intelligence",Byju's,1187225,Placed,2015-01-24
2015,2015_S95,Vivaan Choudhary,IT,8.5,"Cloud Computing, Artificial Intelligence, Web Development",HCL Technologies,1400567,Placed,2015-07-02
2015,2015_S95,Vivaan Choudhary,IT,8.5,"Cloud Computing, Artificial Intelligence, Web Development",Freshworks,918992,Placed,2015-12-27
2015,2015_S96,Sai Gupta,CSE,9.04,"DevOps, Web Development, Python",Tech Mahindra,2063211,Placed,2015-02-03
2015,2015_S96,Sai Gupta,CSE,9.04,"DevOps, Web Development, Python",Cognizant India,2750976,Placed,2015-01-19
2015,2015_S97,Sneha Verma,MECH,9.12,"Python, Artificial Intelligence, Java",Persistent Systems,1848098,Attended,
2015,2015_S97,Sneha Verma,MECH,9.12,"Python, Artificial Intelligence, Java",Zoho,791072,Attended,
2015,2015_S98,Vivaan Iyer,AI,9.65,"Cyber Security, Python, SQL",Ola,631593,Attended,
2015,2015_S98,Vivaan Iyer,AI,9.65,"Cyber Security, Python, SQL",Google India,2355723,Attended,
2015,2015_S99,Ishita Desai,CIVIL,7.04,"Web Development, DevOps, Java",KPMG India,1124926,Attended,
2015,2015_S99,Ishita Desai,CIVIL,7.04,"Web Development, DevOps, Java",Mahindra & Mahindra,1614093,Placed,2015-02-19
2015,2015_S100,Meera Gupta,CSE,8.35,"Cyber Security, Cloud Computing, Python",Wipro,2229305,Attended,
2015,2015_S100,Meera Gupta,CSE,8.35,"Cyber Security, Cloud Computing, Python",Wipro,938873,Attended,
2015,2015_S101,Vikram Verma,DS,8.59,"Python, Machine Learning, SQL",Swiggy,365953,Rejected,
2015,2015_S101,Vikram Verma,DS,8.59,"Python, Machine Learning, SQL",Cognizant India,303267,Rejected,
2015,2015_S102,Aditya Rao,CSE,8.63,"SQL, DevOps, Data Analytics",Qualcomm India,457164,Placed,2015-11-24
2015,2015_S102,Aditya Rao,CSE,8.63,"SQL, DevOps, Data Analytics",Deloitte India,816771,Placed,2015-10-05
2015,2015_S103,Sneha Kulkarni,CIVIL,8.85,"Web Development, Machine Learning, SQL",Amazon India,1133727,Attended,
2015,2015_S103,Sneha Kulkarni,CIVIL,8.85,"Web Development, Machine Learning, SQL",Tech Mahindra,1462928,Rejected,
2015,2015_S104,Sai Gupta,EEE,8.78,"Web Development, Data Analytics, Cyber Security",Swiggy,370640,Placed,2015-07-24
2015,2015_S104,Sai Gupta,EEE,8.78,"Web Development, Data Analytics, Cyber Security",Flipkart,700573,Rejected,
2015,2015_S105,Meera Kapoor,MECH,8.14,"Cloud Computing, Java, Web Development",MakeMyTrip,1655531,Placed,2015-01-23
2015,2015_S105,Meera Kapoor,MECH,8.14,"Cloud Computing, Java, Web Development",Larsen & Toubro,1198320,Rejected,
2015,2015_S106,Pooja Sharma,EEE,8.03,"Machine Learning, DevOps, Cyber Security",Adani Group,2307635,Rejected,
2015,2015_S106,Pooja Sharma,EEE,8.03,"Machine Learning, DevOps, Cyber Security",Amazon India,1526607,Attended,
2015,2015_S107,Sneha Ghosh,DS,7.48,"Cloud Computing, Web Development, Java",Persistent Systems,366234,Rejected,
2015,2015_S107,Sneha Ghosh,DS,7.48,"Cloud Computing, Web Development, Java",Cognizant India,1912818,Placed,2015-01-04
2015,2015_S108,Priya Desai,DS,6.04,"Python, Java, Data Analytics",Persistent Systems,766152,Attended,
2015,2015_S108,Priya Desai,DS,6.04,"Python, Java, Data Analytics",Tata Elxsi,2290546,Placed,2015-12-09
2015,2015_S109,Meera Kapoor,EEE,7.21,"Web Development, Data Analytics, Artificial Intelligence",Qualcomm India,351934,Placed,2015-04-19
2015,2015_S109,Meera Kapoor,EEE,7.21,"Web Development, Data Analytics, Artificial Intelligence",Tech Mahindra,305486,Rejected,
2015,2015_S110,Vikram Malhotra,EEE,6.32,"Web Development, Machine Learning, Cyber Security",Indian Oil Corporation,1339458,Placed,2015-12-25
2015,2015_S110,Vikram Malhotra,EEE,6.32,"Web Development, Machine Learning, Cyber Security",TCS,2109891,Placed,2015-05-23
2015,2015_S111,Pooja Kapoor,DS,8.97,"Data Analytics, DevOps, Java",Tata Power,1087494,Attended,
